date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:26:30	301/301	---MC-	404	error ('Not%20Found')	application/xml	date:Fri,%2019%20Jun%202026%2017:26:29%20GMT	https://demo.frontted.com/robots.txt		(from )
19:26:30	151182/151182	---M--	200	added ('OK')	text/html	etag:%225405809dfbd4676fa059a8a10b671df9%22	https://demo.frontted.com/flowdash/120/index.html	C:/My%20Web%20Sites/CMM%201Prototype%20FINAL/demo.frontted.com/flowdash/120/index.html	(from )
19:26:30	2598/2598	---M--	200	added ('OK')	text/css	etag:%226f36b1309fbbde634a5d54dd1734274a%22	https://demo.frontted.com/flowdash/120/assets/vendor/perfect-scrollbar.css	C:/My%20Web%20Sites/CMM%201Prototype%20FINAL/demo.frontted.com/flowdash/120/assets/vendor/perfect-scrollbar.css	(from https://demo.frontted.com/flowdash/120/index.html)
19:26:32	306/306	---MC-	404	error ('Not%20Found')	application/xml	date:Fri,%2019%20Jun%202026%2017:26:30%20GMT	https://demo.frontted.com/flowdash/120/assets/css/app.rtl.css	C:/My%20Web%20Sites/CMM%201Prototype%20FINAL/demo.frontted.com/flowdash/120/assets/css/app.rtl.css	(from https://demo.frontted.com/flowdash/120/index.html)
19:26:33	4997/4997	---M--	200	added ('OK')	text/css	etag:%22e817408a8cc8dffd2a68d97c08590043%22	https://demo.frontted.com/flowdash/120/assets/css/vendor-material-icons.css	C:/My%20Web%20Sites/CMM%201Prototype%20FINAL/demo.frontted.com/flowdash/120/assets/css/vendor-material-icons.css	(from https://demo.frontted.com/flowdash/120/index.html)
19:26:33	1475239/1475239	---M--	200	added ('OK')	text/css	etag:%22748726cc7853f71183a0a770b7c6934d%22	https://demo.frontted.com/flowdash/120/assets/css/app.css	C:/My%20Web%20Sites/CMM%201Prototype%20FINAL/demo.frontted.com/flowdash/120/assets/css/app.css	(from https://demo.frontted.com/flowdash/120/index.html)
19:26:34	356/356	---MC-	404	error ('Not%20Found')	application/xml	date:Fri,%2019%20Jun%202026%2017:26:34%20GMT	https://demo.frontted.com/flowdash/120/assets/css/vendor-material-icons.rtl.css	C:/My%20Web%20Sites/CMM%201Prototype%20FINAL/demo.frontted.com/flowdash/120/assets/css/vendor-material-icons.rtl.5.delayed	(from https://demo.frontted.com/flowdash/120/index.html)
19:26:35	346/346	---MC-	404	error ('Not%20Found')	application/xml	date:Fri,%2019%20Jun%202026%2017:26:35%20GMT	https://demo.frontted.com/flowdash/120/assets/css/vendor-fontawesome-free.rtl.css	C:/My%20Web%20Sites/CMM%201Prototype%20FINAL/demo.frontted.com/flowdash/120/assets/css/vendor-fontawesome-free.rtl.css	(from https://demo.frontted.com/flowdash/120/index.html)
19:26:35	455752/455752	---M--	200	added ('OK')	text/css	etag:%221a8e4db2d1c931ac21f7876e095e3501%22	https://demo.frontted.com/flowdash/120/assets/css/vendor-fontawesome-free.css	C:/My%20Web%20Sites/CMM%201Prototype%20FINAL/demo.frontted.com/flowdash/120/assets/css/vendor-fontawesome-free.css	(from https://demo.frontted.com/flowdash/120/index.html)
19:26:36	62292/62292	---M--	200	added ('OK')	text/css	etag:%22c945244a19ac2e172ec7237f4c14310f%22	https://demo.frontted.com/flowdash/120/assets/css/vendor-flatpickr.css	C:/My%20Web%20Sites/CMM%201Prototype%20FINAL/demo.frontted.com/flowdash/120/assets/css/vendor-flatpickr.css	(from https://demo.frontted.com/flowdash/120/index.html)
